brand,category,nsv_Jul25,ms_Jul25,nsv_Aug25,ms_Aug25,nsv_Sep25,ms_Sep25,nsv_Oct25,ms_Oct25,nsv_Nov25,ms_Nov25,nsv_Dec25,ms_Dec25,nsv_Jan26,ms_Jan26,nsv_Feb26,ms_Feb26,nsv_Mar26,ms_Mar26,nsv_Apr26,ms_Apr26,nsv_May26,ms_May26,nsv_Jun26,ms_Jun26,nsv_Jul26,ms_Jul26,yoy_pct,wd_jul26,stores_jul26,l3m,lmat,nsv_jul26,ms_jul26
HIMALAYA,Facewash,16.4,23.2,17.0,23.2,15.1,23.8,16.8,23.5,14.9,23.0,15.3,24.0,15.3,22.6,15.2,22.8,16.9,22.6,16.3,21.4,17.9,21.6,16.7,20.3,18.7,22.8,13.938066599999999,99.5,20376.5,53.4,196.1,18.7,22.8
GARNIER,Facewash,10.3,14.5,11.1,15.2,9.5,15.0,10.5,14.8,9.0,13.9,8.6,13.4,9.5,14.1,9.8,14.6,10.3,13.7,10.4,13.7,11.8,14.2,10.8,13.2,10.9,13.3,6.6478214,88.5,17042.2,33.5,122.3,10.9,13.3
POND'S,Facewash,10.0,14.2,10.3,14.1,8.8,13.9,9.2,12.9,8.5,13.2,8.3,13.0,9.6,14.2,9.3,13.9,10.9,14.5,11.3,14.9,11.4,13.8,10.6,12.9,10.7,13.0,6.9247655,97.5,18231.3,32.7,119.0,10.7,13.0
MAMAEARTH,Facewash,6.2,8.8,7.5,10.2,6.0,9.4,6.5,9.2,5.8,9.0,6.2,9.7,7.9,11.6,7.8,11.7,8.5,11.3,8.8,11.6,9.6,11.6,9.5,11.6,9.2,11.2,47.730930199999996,89.2,13096.9,28.3,93.2,9.2,11.2
CLEAN & CLEAR,Facewash,5.5,7.7,5.4,7.4,4.8,7.6,5.3,7.5,4.6,7.1,5.0,7.8,5.0,7.4,4.9,7.2,5.5,7.4,5.8,7.6,6.3,7.6,6.3,7.7,6.3,7.7,15.6690463,97.0,16479.0,19.0,65.3,6.3,7.7
JOY,Facewash,4.7,6.6,4.2,5.8,3.8,5.9,5.0,7.0,4.9,7.7,4.4,6.9,3.6,5.3,3.1,4.6,3.8,5.1,4.5,5.9,4.9,5.9,6.8,8.3,5.5,6.7,17.659619900000003,75.1,9277.3,17.3,54.6,5.5,6.7
LAKME,Facewash,2.5,3.5,2.4,3.3,2.1,3.3,2.5,3.5,2.3,3.6,2.2,3.4,2.3,3.4,2.2,3.3,2.4,3.2,2.4,3.2,3.1,3.8,3.6,4.4,3.3,4.0,34.9510604,77.8,9699.4,10.0,30.9,3.3,4.0
NIVEA,Facewash,3.6,5.1,3.5,4.8,3.2,5.0,3.3,4.6,3.2,4.9,2.9,4.5,2.8,4.1,3.1,4.6,2.9,3.9,3.1,4.1,3.3,3.9,2.9,3.6,2.8,3.4,-21.0746102,85.3,12535.1,9.0,37.0,2.8,3.4
SIMPLE,Facewash,0.5,0.6,0.6,0.8,0.5,0.8,0.7,1.0,1.0,1.5,1.1,1.7,1.3,1.9,0.8,1.3,1.2,1.6,1.5,2.0,1.9,2.3,2.0,2.5,2.1,2.6,363.1808279,54.3,5315.3,6.1,14.8,2.1,2.6
EVERYUTH,Facewash,0.8,1.1,0.9,1.2,0.7,1.1,0.9,1.2,0.8,1.2,0.7,1.1,0.6,1.0,0.6,0.9,0.9,1.2,0.9,1.2,0.9,1.0,1.0,1.2,1.0,1.2,29.312581100000003,61.5,6803.5,2.9,9.9,1.0,1.2
