month,category_nsv_cr,mamaearth_nsv_cr,mamaearth_ms_pct,mamaearth_wd_pct,mamaearth_stores
Jul 23,65.9,2.6,3.9,67.3,6516.9
Aug 23,68.7,2.6,3.8,69.6,7131.8
Sep 23,60.8,2.4,4.0,69.7,7661.7
Oct 23,64.8,2.7,4.2,71.1,8049.4
Nov 23,64.4,2.6,4.1,69.1,7873.2
Dec 23,61.1,2.6,4.2,67.8,7695.2
Jan 24,63.0,3.3,5.3,71.4,8203.4
Feb 24,64.0,3.5,5.5,72.4,8013.6
Mar 24,68.1,4.0,5.8,73.0,8066.4
Apr 24,70.8,4.0,5.7,73.5,8248.8
May 24,76.2,4.9,6.5,75.8,9154.4
Jun 24,71.7,4.8,6.7,75.5,8699.3
Jul 24,70.6,4.7,6.6,78.7,9359.0
Aug 24,71.2,5.0,7.0,80.4,9744.7
Sep 24,62.5,4.1,6.6,79.9,10084.5
Oct 24,66.5,4.5,6.8,80.1,10238.6
Nov 24,64.9,4.3,6.6,78.5,10019.8
Dec 24,59.3,4.1,7.0,78.2,9167.6
Jan 25,57.6,4.5,7.9,79.1,8965.1
Feb 25,56.0,4.3,7.7,80.6,9349.5
Mar 25,64.1,5.0,7.8,80.6,9535.2
Apr 25,66.1,5.4,8.1,81.3,9905.7
May 25,74.0,6.2,8.4,81.0,10742.6
Jun 25,71.4,6.0,8.5,78.6,10006.8
Jul 25,70.8,6.2,8.8,82.8,10425.8
Aug 25,73.0,7.5,10.2,83.6,10485.9
Sep 25,63.6,6.0,9.4,80.8,10544.0
Oct 25,71.2,6.5,9.2,79.1,10502.6
Nov 25,64.6,5.8,9.0,77.5,10739.9
Dec 25,64.0,6.2,9.7,79.3,11268.1
Jan 26,67.5,7.9,11.6,85.0,12144.0
Feb 26,67.0,7.8,11.7,86.3,12352.1
Mar 26,75.1,8.5,11.3,85.2,12201.3
Apr 26,76.1,8.8,11.6,86.9,12876.5
May 26,83.0,9.6,11.6,87.1,13022.9
Jun 26,82.3,9.5,11.6,87.0,13170.7
Jul 26,82.3,9.2,11.2,89.2,13096.9
