BASEPACKSIZE,Jul 26,Jun 26,May 26,Jul 25,Latest 3 Mths,Latest 12 Mths,ms_pct_jul26
650.0,40.5,41.4,37.9,35.7,119.8,433.8,25.978191148171902
340.0,23.6,22.2,23.2,30.4,69.0,265.8,15.137908915971776
180.0,22.3,22.2,21.9,21.9,66.4,249.6,14.304041051956382
1000.0,20.7,20.1,32.7,13.1,73.5,232.6,13.277742142398974
400.0,7.2,6.7,7.2,5.3,21.0,74.9,4.6183450930083385
200.0,6.1,6.7,6.5,5.6,19.4,69.4,3.9127645926876196
580.0,5.6,6.1,6.0,5.5,17.8,64.9,3.5920461834509294
175.0,4.2,4.2,4.2,4.0,12.6,45.1,2.6940346375881976
355.0,3.1,3.1,3.7,1.0,9.8,33.1,1.9884541372674793
80.0,2.2,2.2,2.1,2.7,6.5,26.8,1.411161000641437
100.0,2.1,2.2,2.1,2.4,6.3,24.8,1.3470173187940988
600.0,1.8,1.7,1.6,1.5,5.1,18.0,1.1545862732520846
640.0,1.7,2.1,2.0,2.6,5.7,24.4,1.0904425914047464
350.0,1.7,1.7,1.9,0.5,5.4,12.3,1.0904425914047464
360.0,1.6,1.6,2.0,2.8,5.2,26.0,1.0262989095574087
250.0,1.5,1.2,1.2,1.4,3.8,14.5,0.9621552277100706
500.0,1.1,0.9,1.0,0.7,3.0,10.1,0.7055805003207185
72.0,1.0,0.9,0.9,1.0,2.9,11.9,0.6414368184733803
185.0,0.9,0.8,1.4,1.7,3.1,14.4,0.5772931366260423
75.0,0.9,1.0,1.0,0.8,2.9,11.8,0.5772931366260423
800.0,0.7,0.7,0.8,0.5,2.2,8.3,0.4490057729313662
675.0,0.6,0.6,0.5,1.1,1.7,7.8,0.3848620910840282
300.0,0.6,0.6,0.6,0.6,1.7,6.4,0.3848620910840282
170.0,0.4,0.5,0.5,1.2,1.5,9.6,0.25657472738935216
195.0,0.4,0.3,0.3,0.3,1.0,3.7,0.25657472738935216
370.0,0.4,0.5,0.4,0.6,1.3,5.3,0.25657472738935216
85.0,0.4,0.4,0.4,0.6,1.2,5.9,0.25657472738935216
450.0,0.3,0.4,0.4,0.2,1.1,4.0,0.1924310455420141
335.0,0.3,0.2,0.3,,0.7,1.0,0.1924310455420141
396.0,0.3,0.3,0.3,0.2,0.9,3.6,0.1924310455420141
82.5,0.2,0.2,0.2,0.2,0.6,2.2,0.12828736369467608
50.0,0.2,0.2,0.1,0.2,0.5,1.9,0.12828736369467608
750.0,0.2,0.0,0.0,0.0,0.2,0.2,0.12828736369467608
150.0,0.2,0.1,0.1,0.1,0.4,1.2,0.12828736369467608
1500.0,0.1,0.2,0.1,0.1,0.5,1.4,0.06414368184733804
704.0,0.1,0.1,0.0,0.0,0.2,1.3,0.06414368184733804
375.0,0.1,0.1,0.1,0.1,0.4,1.6,0.06414368184733804
