chain_name,month,article,nsv_lakhs,qty,store_count
Reliance,Jul-26,Onion Shampoo 250ml,45.2,8500,85
Reliance,Jul-26,1% Salicylic Acid Gel,32.1,6200,82
Reliance,Jun-26,Onion Shampoo 250ml,42.8,8100,84
Reliance,Jun-26,1% Salicylic Acid Gel,30.5,5900,81
DMart,Jul-26,Onion Shampoo 250ml,38.5,7200,92
DMart,Jul-26,1% Salicylic Acid Gel,28.3,5400,90
DMart,Jun-26,Onion Shampoo 250ml,36.2,6800,91
DMart,Jun-26,1% Salicylic Acid Gel,26.8,5100,88
Spencer's,Jul-26,Onion Shampoo 250ml,22.4,4200,45
Spencer's,Jul-26,1% Salicylic Acid Gel,16.8,3200,43
Spencer's,Jun-26,Onion Shampoo 250ml,21.0,3950,44
Spencer's,Jun-26,1% Salicylic Acid Gel,15.9,3000,42
Apollo Pharmacy,Jul-26,1% Salicylic Acid Gel,18.2,3400,55
Apollo Pharmacy,Jul-26,Onion Shampoo 250ml,12.5,2350,58
Apollo Pharmacy,Jun-26,1% Salicylic Acid Gel,17.1,3200,54
Apollo Pharmacy,Jun-26,Onion Shampoo 250ml,11.8,2200,57
Modern Bazaar,Jul-26,Onion Shampoo 250ml,11.3,2100,28
Modern Bazaar,Jul-26,1% Salicylic Acid Gel,8.4,1600,27
Modern Bazaar,Jun-26,Onion Shampoo 250ml,10.6,1980,27
Modern Bazaar,Jun-26,1% Salicylic Acid Gel,7.9,1500,26
