Chain,Brand,Article_Code,Assortment_Type
APNA KLUB,MAMAEARTH,'556034,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'556043,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'556044,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'556045,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'556048,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'556049,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'556054,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'556056,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'556057,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'556059,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'557015,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'557016,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'557024,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'557027,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'557030,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'559550,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'559553,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'559554,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'559555,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'559556,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'562923,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'562925,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'564061,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'564062,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'564072,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'564115,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'566828,Brand_Pareto_Assortment_Fallback
