Brand,EAN,First_Observed,Num_Chains,Observed_Chains,Total_Rows,Total_NSV_Lakh
AQUALOGICA,8906087778462,2026-07,14,APOLLO PHARMACY|AZ ENTERPRISES-MT|D-MART-OFFLINE|DMART|G.V ENTERPRISES|HEALTH & GLOW|LULU HYPER|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|RELIANCE RETAIL-(AZORTE)|SRI VIJAYA DURGA AGENCIES|WELLNESS FOREVER,71,12.0648075
AQUALOGICA,8906087779407,2026-07,13,APOLLO PHARMACY|D-MART-OFFLINE|DMART|G.V ENTERPRISES|HEALTH & GLOW|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|METRO-CNC-RRL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|RELIANCE RETAIL-(AZORTE)|VENKATESHWARA AGENCIES-TG|WELLNESS FOREVER,59,7.639969457627118
AQUALOGICA,8904417306255,2026-07,12,APOLLO PHARMACY|DMART|G.V ENTERPRISES|HEALTH & GLOW|LULU HYPER|METRO-CNC-RRL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|RELIANCE RETAIL-(AZORTE)|SANCUS NETWORKS-MT-REG.|SRI VIJAYA DURGA AGENCIES|WELLNESS FOREVER,55,5.1186664830508475
AQUALOGICA,8904417306514,2026-07,10,D-MART-OFFLINE|GUARDIAN HEALTHCARE-DELHI|HEALTH & GLOW|LULU HYPER|M/S KOTTARAM BUSINESS|METRO-CNC-RRL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL-(AZORTE)|VENKATESHWARA AGENCIES-TG|WELLNESS FOREVER,44,2.6475997050847457
AQUALOGICA,8906087779377,2026-07,7,APOLLO PHARMACY|AZ ENTERPRISES-MT|G.V ENTERPRISES|HEALTH & GLOW|LULU HYPER|METRO-CNC-RRL|RELIANCE RETAIL-(AZORTE),25,1.543450206779661
AQUALOGICA,8906087778110,2026-07,9,APOLLO PHARMACY|D-MART-OFFLINE|GUARDIAN HEALTHCARE-DELHI|HEALTH & GLOW|LULU HYPER|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL-(AZORTE),46,1.3954899559322034
AQUALOGICA,8904417320718,2026-08,2,M/S KOTTARAM BUSINESS|RELIANCE RETAIL-(AZORTE),2,1.0165378
AQUALOGICA,8904417311389,2026-07,6,APOLLO PHARMACY|AZ ENTERPRISES-MT|D.L. SALES - MT|HEALTH & GLOW|M/S KOTTARAM BUSINESS|NYKAA E-RETAIL LIMITED,19,0.8787977
AQUALOGICA,8904417307481,2026-07,6,APOLLO PHARMACY|HEALTH & GLOW|LULU HYPER|METRO-CNC-RRL|RELIANCE RETAIL-(AZORTE)|VENKATESHWARA AGENCIES-TG,32,0.8283896033898305
AQUALOGICA,8904417314014,2026-07,6,D-MART-OFFLINE|HEALTH & GLOW|LULU HYPER|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL-(AZORTE)|VENKATESHWARA AGENCIES-TG,10,0.5675316915254237
AQUALOGICA,8904417314007,2026-07,5,HEALTH & GLOW|LULU HYPER|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|VENKATESHWARA AGENCIES-TG,16,0.3317437627118644
AQUALOGICA,8906087777090,2026-07,5,DMART|HEALTH & GLOW|LULU HYPER|NYKAA E-RETAIL LIMITED|VENKATESHWARA AGENCIES-TG,16,0.31320253559322037
AQUALOGICA,8906087779872,2026-07,4,APOLLO PHARMACY|HEALTH & GLOW|METRO-CNC-RRL|RELIANCE RETAIL-(AZORTE),16,0.22469129999999998
AQUALOGICA,8904417308440,2026-07,3,HEALTH & GLOW|LULU HYPER|NYKAA E-RETAIL LIMITED,14,0.21312681355932206
AQUALOGICA,8904417314021,2026-07,4,HEALTH & GLOW|LULU HYPER|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL,17,0.17799329152542373
AQUALOGICA,8904417318791,2026-08,1,RELIANCE RETAIL,1,0.1775758
AQUALOGICA,8904417313185,2026-07,2,D-MART-OFFLINE|LULU HYPER,3,0.15223625593220338
AQUALOGICA,8906087778189,2026-07,1,HEALTH & GLOW,18,0.1264424
AQUALOGICA,8904417313253,2026-07,2,LULU HYPER|RELIANCE RETAIL-(AZORTE),4,0.10554953898305086
AQUALOGICA,8904417313192,2026-08,2,D-MART-OFFLINE|RELIANCE RETAIL-(AZORTE),2,0.0732427
AQUALOGICA,8906087776802,2026-07,4,G.V ENTERPRISES|HEALTH & GLOW|M/S KOTTARAM BUSINESS|RELIANCE RETAIL-(AZORTE),11,0.0679973
AQUALOGICA,8904417306224,2026-08,1,RELIANCE RETAIL-(AZORTE),2,0.055585
AQUALOGICA,8904417317220,2026-07,1,LULU HYPER,1,0.04567016949152542
BBLUNT,8906087779490,2026-07,9,APOLLO PHARMACY|AZ ENTERPRISES-MT|D.L. SALES - MT|DMART|HEALTH & GLOW|METRO-CNC-RRL|RELIANCE RETAIL|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG,113,3.0187207
BBLUNT,8906087779513,2026-07,7,APOLLO PHARMACY|AZ ENTERPRISES-MT|D.L. SALES - MT|DMART|HEALTH & GLOW|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG,62,1.39854
BBLUNT,8904417303285,2026-07,6,APOLLO PHARMACY|D.L. SALES - MT|HEALTH & GLOW|METRO-CNC-RRL|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG,28,0.8956614
BBLUNT,8904417302066,2026-07,6,APOLLO PHARMACY|D.L. SALES - MT|HEALTH & GLOW|METRO-CNC-RRL|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG,49,0.8600582
BBLUNT,8904417305098,2026-07,6,APOLLO PHARMACY|AZ ENTERPRISES-MT|D.L. SALES - MT|HEALTH & GLOW|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG,18,0.6845376000000001
BBLUNT,8904417302073,2026-07,6,APOLLO PHARMACY|D.L. SALES - MT|HEALTH & GLOW|METRO-CNC-RRL|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG,51,0.6686316
BBLUNT,8904417322392,2026-07,3,APOLLO PHARMACY|HEALTH & GLOW|METRO-CNC-RRL,37,0.6150686
BBLUNT,8904417322422,2026-07,3,APOLLO PHARMACY|HEALTH & GLOW|METRO-CNC-RRL,30,0.6072919
BBLUNT,8904417302745,2026-07,5,APOLLO PHARMACY|D.L. SALES - MT|HEALTH & GLOW|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG,21,0.5652893
BBLUNT,8904417302707,2026-07,3,HEALTH & GLOW|METRO-CNC-RRL|SRI VIJAYA DURGA AGENCIES,15,0.5494348
BBLUNT,8904417322446,2026-07,2,HEALTH & GLOW|METRO-CNC-RRL,39,0.5156584
BBLUNT,8904417303292,2026-07,5,APOLLO PHARMACY|D.L. SALES - MT|HEALTH & GLOW|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG,9,0.4435822
BBLUNT,8904417322415,2026-07,2,HEALTH & GLOW|METRO-CNC-RRL,39,0.41083569999999997
BBLUNT,8904417307283,2026-07,3,APOLLO PHARMACY|D.L. SALES - MT|HEALTH & GLOW,14,0.3548178
BBLUNT,8904417322439,2026-07,4,APOLLO PHARMACY|D.L. SALES - MT|HEALTH & GLOW|SRI VIJAYA DURGA AGENCIES,19,0.3260467
BBLUNT,8904417307122,2026-07,2,HEALTH & GLOW|SRI VIJAYA DURGA AGENCIES,9,0.2230351
BBLUNT,8904417307320,2026-07,2,HEALTH & GLOW|SRI VIJAYA DURGA AGENCIES,9,0.1598634
BBLUNT,8906087779506,2026-08,1,RELIANCE RETAIL,1,0.0889361
BBLUNT,8904417305821,2026-07,1,HEALTH & GLOW,9,0.050323299999999994
BBLUNT,8904417302776,2026-07,1,HEALTH & GLOW,14,0.0473395
BBLUNT,8904417305104,2026-07,1,HEALTH & GLOW,5,0.0130213
BBLUNT,8904417302738,2026-07,1,HEALTH & GLOW,2,0.0071001
DR. SHETHS,8906148700029,2026-08,3,AZ ENTERPRISES-MT|NYKAA E-RETAIL LIMITED|WELLNESS FOREVER,5,0.7847816
DR. SHETHS,8906148700906,2026-08,4,APOLLO PHARMACY|AZ ENTERPRISES-MT|NYKAA E-RETAIL LIMITED|VENKATESHWARA AGENCIES-TG,7,0.6136096
DR. SHETHS,8906148700883,2026-08,4,APOLLO PHARMACY|AZ ENTERPRISES-MT|NYKAA E-RETAIL LIMITED|VENKATESHWARA AGENCIES-TG,7,0.5146014
DR. SHETHS,8906148701002,2026-08,1,AZ ENTERPRISES-MT,1,0.38101480000000004
DR. SHETHS,8906148700821,2026-07,6,APOLLO PHARMACY|AZ ENTERPRISES-MT|HEALTH & GLOW|NYKAA E-RETAIL LIMITED|VENKATESHWARA AGENCIES-TG|WELLNESS FOREVER,11,0.3300559
DR. SHETHS,8906148700869,2026-08,3,AZ ENTERPRISES-MT|NYKAA E-RETAIL LIMITED|VENKATESHWARA AGENCIES-TG,6,0.29611540000000003
DR. SHETHS,8906148700302,2026-08,3,NYKAA E-RETAIL LIMITED|VENKATESHWARA AGENCIES-TG|WELLNESS FOREVER,4,0.2454467
DR. SHETHS,8906148700333,2026-08,1,AZ ENTERPRISES-MT,1,0.239358
DR. SHETHS,8906148700579,2026-08,2,APOLLO PHARMACY|NYKAA E-RETAIL LIMITED,3,0.2251175
DR. SHETHS,8906148701019,2026-07,2,HEALTH & GLOW|VENKATESHWARA AGENCIES-TG,3,0.20854689999999998
DR. SHETHS,8906148700487,2026-07,3,APOLLO PHARMACY|HEALTH & GLOW|NYKAA E-RETAIL LIMITED,6,0.1067853
DR. SHETHS,8906148701125,2026-08,1,NYKAA E-RETAIL LIMITED,1,0.077039
DR. SHETHS,8906148702078,2026-07,1,HEALTH & GLOW,7,0.0331258
DR. SHETHS,8906148700371,2026-07,1,HEALTH & GLOW,1,0.0029601999999999996
