ean,article,chain,brand,category,mrp,final_effective_margin_pct,distribution_pct,record_status,qc_severity
8904417314618.0,576153.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417314755.0,576154.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417315141.0,576155.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087776017.0,564444.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087772095.0,561850.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087776604.0,568014.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417317275.0,575618.0,H&G,Mamaearth,Body,500.0,25.0,50.0,PUBLISHED,PASS
8906087779490.0,554401.0,H&G,BBLUNT,Styling Products,500.0,25.0,50.0,PUBLISHED,PASS
8904417317244.0,575621.0,H&G,Mamaearth,Body,500.0,25.0,50.0,PUBLISHED,PASS
8906087772040.0,561837.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087775713.0,562817.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417314298.0,576151.0,H&G,Mamaearth,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906148701736.0,578002.0,H&G,Dr. Sheth's,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417311297.0,574807.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087779407.0,570661.0,H&G,Aqualogica,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417317268.0,575620.0,H&G,Mamaearth,Body,500.0,25.0,50.0,PUBLISHED,PASS
8906087775607.0,562818.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087778363.0,568006.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087776932.0,564062.0,H&G,Mamaearth,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417302578.0,574808.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087778462.0,570649.0,H&G,Aqualogica,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087773849.0,561839.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087773863.0,561842.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087772057.0,561840.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417317183.0,575619.0,H&G,Mamaearth,Body,500.0,25.0,50.0,PUBLISHED,PASS
8904417308501.0,574277.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087772064.0,561847.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087772071.0,561846.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087774624.0,562819.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417306255.0,572882.0,H&G,Aqualogica,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087779513.0,558831.0,H&G,BBLUNT,Styling Products,500.0,25.0,50.0,PUBLISHED,PASS
8906087776024.0,574275.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417318074.0,576148.0,H&G,Mamaearth,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417306231.0,573663.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087772019.0,561843.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8904417311495.0,574280.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087779438.0,542398.0,H&G,BBLUNT,Hair Colour,500.0,25.0,50.0,PUBLISHED,PASS
8906087778189.0,570651.0,H&G,Aqualogica,Face,500.0,25.0,50.0,PUBLISHED,PASS
8906087776093.0,564443.0,H&G,The Derma Co.,Face,500.0,25.0,50.0,PUBLISHED,PASS
