month,chain_name,brand,category,article,ean,mrp,mrp_original,mrp_source_column,mrp_denomination,formula_vs_primary_ratio,margin_pct,tot_pct,tot_pct_original,effective_tot_from_primary,gst_pct,unit_nsv_validated,unit_nsv_source,unit_nsv_validation_status,formula_unit_nsv_stored_tot,p_unit_nsv_median,p_unit_nsv_count,cm2_value_per_unit,cm2_pct_rate,cm2_pct_original,cm2_value_type,cm2_source,cm2_approval_status,cm2_approved_by,cm2_approval_date,quality_status,unit_econ_flag
2026-04,ARAMBAGH,Aqualogica,Face,Glow+ Dewy Sunscreen 50gm,8906087778462,449.0,449.0,M-Value,CONSUMER_UNIT_MRP,1.046,36.44,36.44,36.44,42.7,18.0,266.6585,PRIMARY_INVOICE_HISTORY,VALIDATED_VS_PRIMARY_INVOICE,278.8834,266.6585329924973,14.0,53.88,,53.88,PER_UNIT_RUPEES,DERIVED_12PCT_OF_CONSUMER_MRP_PLACEHOLDER,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,OK
2026-04,ARAMBAGH,Aqualogica,Face,Radiance+ Dewy Sunscreen 50gm,8906087779407,449.0,449.0,M-Value,CONSUMER_UNIT_MRP,1.075,36.44,36.44,36.44,46.66,18.0,259.4558,PRIMARY_INVOICE_HISTORY,VALIDATED_VS_PRIMARY_INVOICE,278.8834,259.45582390185996,14.0,53.88,,53.88,PER_UNIT_RUPEES,DERIVED_12PCT_OF_CONSUMER_MRP_PLACEHOLDER,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,OK
2026-04,ARAMBAGH,Mamaearth,Baby,100% Natural Berry Blast Toothpaste for Kids 50gm,8906087770527,132.0,132.0,M-Value,CONSUMER_UNIT_MRP,1.188,28.57,28.57,28.57,52.78,5.0,82.2834,PRIMARY_INVOICE_HISTORY,VALIDATED_VS_PRIMARY_INVOICE,97.7789,82.28343347851668,14.0,15.84,,15.84,PER_UNIT_RUPEES,DERIVED_12PCT_OF_CONSUMER_MRP_PLACEHOLDER,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,OK
2026-04,ARAMBAGH,Mamaearth,Body,Aloe Turmeric Gel for Skin & Hair 150ml,8906087771746,249.0,249.0,M-Value,CONSUMER_UNIT_MRP,1.085,36.44,36.44,36.44,48.1,18.0,142.4817,PRIMARY_INVOICE_HISTORY,VALIDATED_VS_PRIMARY_INVOICE,154.6592,142.4817351046699,6.0,29.88,,29.88,PER_UNIT_RUPEES,DERIVED_12PCT_OF_CONSUMER_MRP_PLACEHOLDER,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,OK
2026-04,ARAMBAGH,Mamaearth,Face,Aloe Vera Face Wash 100 ml,8906087778455,285.0,285.0,M-Value,CONSUMER_UNIT_MRP,1.411,36.44,36.44,36.44,92.51,18.0,125.4588,PRIMARY_INVOICE_HISTORY,VALIDATED_VS_PRIMARY_INVOICE,177.0195,125.45875623918715,14.0,34.2,,34.2,PER_UNIT_RUPEES,DERIVED_12PCT_OF_CONSUMER_MRP_PLACEHOLDER,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,NSV_MATERIAL_DEVIANCE_VS_FORMULA
2026-04,ARAMBAGH,Mamaearth,Face,Beetroot Hydraful Light Moisturizing Cream 200 g,8904417318074,549.0,549.0,M-Value,CONSUMER_UNIT_MRP,1.926,36.44,36.44,36.44,162.8,18.0,177.0372,PRIMARY_INVOICE_HISTORY,VALIDATED_VS_PRIMARY_INVOICE,340.9955,177.03716343543783,14.0,65.88,,65.88,PER_UNIT_RUPEES,DERIVED_12PCT_OF_CONSUMER_MRP_PLACEHOLDER,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,NSV_MATERIAL_DEVIANCE_VS_FORMULA
2026-04,ARAMBAGH,Mamaearth,Face,Charcoal Facewash for oil control 100ml,8906087770657,285.0,285.0,M-Value,CONSUMER_UNIT_MRP,1.363,36.44,36.44,36.44,85.95,18.0,129.8859,PRIMARY_INVOICE_HISTORY,VALIDATED_VS_PRIMARY_INVOICE,177.0195,129.8858785995849,14.0,34.2,,34.2,PER_UNIT_RUPEES,DERIVED_12PCT_OF_CONSUMER_MRP_PLACEHOLDER,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,NSV_MATERIAL_DEVIANCE_VS_FORMULA
2026-04,ARAMBAGH,Mamaearth,Baby,ME Baby Milky Soft Head to Toe Wash - 200 ml,8904417319941,249.0,249.0,M-Value,CONSUMER_UNIT_MRP,1.273,36.44,36.44,36.44,73.71,5.0,136.5136,PRIMARY_INVOICE_HISTORY,VALIDATED_VS_PRIMARY_INVOICE,173.8074,136.51357142857142,7.0,29.88,,29.88,PER_UNIT_RUPEES,DERIVED_12PCT_OF_CONSUMER_MRP_PLACEHOLDER,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,OK
2026-04,ARAMBAGH,Mamaearth,Face,ME Rice Dewy Bright Light Moisturizing Cream 200 g,8904417318364,449.0,449.0,M-Value,CONSUMER_UNIT_MRP,1.51,36.44,36.44,36.44,106.03,18.0,184.6877,PRIMARY_INVOICE_HISTORY,VALIDATED_VS_PRIMARY_INVOICE,278.8834,184.68773054755044,11.0,53.88,,53.88,PER_UNIT_RUPEES,DERIVED_12PCT_OF_CONSUMER_MRP_PLACEHOLDER,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,NSV_MATERIAL_DEVIANCE_VS_FORMULA
2026-04,ARAMBAGH,Mamaearth,Face,ME Rice Dewy Bright Light Moisturizing Cream 50 g - Offline Saver Pack,8904417318432,298.0,298.0,M-Value,PACK_CASE_LEVEL_MRP,2.569,36.44,36.44,36.44,,18.0,,UNAVAILABLE,NOT_VALIDATED,185.0941,72.05792857142856,12.0,35.76,,35.76,PER_UNIT_RUPEES,DERIVED_12PCT_OF_PACK_MRP_DENOMINATION_UNKNOWN,PROVISIONAL_NOT_FINANCE_APPROVED,,,DERIVED,PACK_CASE_LEVEL_NO_CONSUMER_UNIT_NSV
