path,role,rationale,ext,size_bytes,size_h,last_commit
.claude/agents/honasa-cm2-expense-classification.md,doc,documentation,md,8830,8KB,fc45de4 2026-07-24
.claude/agents/honasa-dashboard-qc-reconciliation.md,doc,documentation,md,8049,7KB,e392f42 2026-07-24
.claude/agents/honasa-data-engineering.md,doc,documentation,md,7007,6KB,2d87cc3 2026-07-24
.github/workflows/dataeng.yml,unclassified,no rule matched,yml,2035,1KB,b796397 2026-07-24
.gitignore,unclassified,no rule matched,,343,0KB,b796397 2026-07-24
CLAUDE.md,unclassified,no rule matched,md,7604,7KB,fb54ba6 2026-07-24
Final MT Offtake May26 Leadership slide_CORRECTED_V2.pptx,unclassified,no rule matched,pptx,14082297,14.1MB,ee6d672 2026-06-28
PowerBI/DAX/00_DateTable.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,2246,2KB,771adac 2026-06-28
PowerBI/DAX/01_CoreMeasures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,4490,4KB,771adac 2026-06-28
PowerBI/DAX/02_PnL_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,3256,3KB,771adac 2026-06-28
PowerBI/DAX/03_Forecast_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,4188,4KB,771adac 2026-06-28
PowerBI/DAX/04_Nielsen_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,2018,1KB,771adac 2026-06-28
PowerBI/DAX/05_TDP_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,2917,2KB,771adac 2026-06-28
PowerBI/DAX/06_DataQuality_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,4533,4KB,771adac 2026-06-28
PowerBI/DAX/07_PrimaryAllocation_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,5667,5KB,771adac 2026-06-28
PowerBI/DAX/08_ForecastQC_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,3381,3KB,771adac 2026-06-28
PowerBI/DAX/09_ArticleAllocation_Eligibility.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,7527,7KB,47af926 2026-06-28
PowerBI/DAX/10_SIS_Reconciliation.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,4042,3KB,3a3156c 2026-07-03
PowerBI/DAX/11_ExportDisplay_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,4060,3KB,23487af 2026-07-03
PowerBI/DAX/12_TOT_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,9949,9KB,d857c6b 2026-07-03
PowerBI/DAX/13_CM2_Measures.dax,powerbi,"Power BI build kit -- M queries, DAX measures, templates",dax,8195,8KB,cc58081 2026-07-04
PowerBI/Excluded_Data/Excluded_Brands/Excluded_Brands_audit_summary.txt,reference,preserved excluded-brand records; must never enter an aggregation,txt,1820,1KB,d334819 2026-07-24
PowerBI/Excluded_Data/Excluded_Brands/Excluded_Brands_detail_records.csv,reference,preserved excluded-brand records; must never enter an aggregation,csv,10158,9KB,d334819 2026-07-24
PowerBI/Excluded_Data/Excluded_Brands/RELEASE_GATE_REPORT.md,reference,preserved excluded-brand records; must never enter an aggregation,md,6338,6KB,d334819 2026-07-24
PowerBI/PowerQuery/00_Parameters.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1376,1KB,771adac 2026-06-28
PowerBI/PowerQuery/01_fnCombineFolder.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,3458,3KB,a34b910 2026-06-28
PowerBI/PowerQuery/10_Fact_PrimarySales.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,2101,2KB,771adac 2026-06-28
PowerBI/PowerQuery/11_Fact_OfftakeSales.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,5984,5KB,76fdf70 2026-07-03
PowerBI/PowerQuery/12_Fact_PnL.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1043,1KB,771adac 2026-06-28
PowerBI/PowerQuery/13_Fact_Nielsen.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1266,1KB,771adac 2026-06-28
PowerBI/PowerQuery/14_Fact_TDP.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1887,1KB,771adac 2026-06-28
PowerBI/PowerQuery/15_Fact_PrimaryShipTo.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,3988,3KB,771adac 2026-06-28
PowerBI/PowerQuery/16_Fact_PrimaryArticle.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,8225,8KB,290c3c3 2026-07-04
PowerBI/PowerQuery/20_Dim_Masters.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,3596,3KB,771adac 2026-06-28
PowerBI/PowerQuery/21_ShipToMaster.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,999,0KB,771adac 2026-06-28
PowerBI/PowerQuery/22_CustomerCodeZoneMaster.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1807,1KB,771adac 2026-06-28
PowerBI/PowerQuery/24_ChannelMap.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1676,1KB,51c7228 2026-07-03
PowerBI/PowerQuery/30_AssumptionTable.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1159,1KB,771adac 2026-06-28
PowerBI/PowerQuery/31_Targets.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,827,0KB,771adac 2026-06-28
PowerBI/PowerQuery/32_StoreSOMapping.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1031,1KB,771adac 2026-06-28
PowerBI/PowerQuery/33_ForecastOverride.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1080,1KB,771adac 2026-06-28
PowerBI/PowerQuery/34_PrimaryAllocationMap.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1558,1KB,771adac 2026-06-28
PowerBI/PowerQuery/35_PrimaryAllocationOverride.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,960,0KB,771adac 2026-06-28
PowerBI/PowerQuery/36_SalesTeamMapping.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1860,1KB,771adac 2026-06-28
PowerBI/PowerQuery/37_GST_Rate_QC_Table.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,2253,2KB,080d3e5 2026-07-03
PowerBI/PowerQuery/38_GST_Config.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1225,1KB,080d3e5 2026-07-03
PowerBI/PowerQuery/39_PL_Expense_Input.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,4361,4KB,cc58081 2026-07-04
PowerBI/PowerQuery/40_CustCode_Chain_Map.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,1235,1KB,cc58081 2026-07-04
PowerBI/PowerQuery/41_DistContWeights.pq,powerbi,"Power BI build kit -- M queries, DAX measures, templates",pq,3070,2KB,290c3c3 2026-07-04
PowerBI/QuickSetup/AllDAX_Consolidated.txt,powerbi,"Power BI build kit -- M queries, DAX measures, templates",txt,71998,70KB,e2997f9 2026-07-05
PowerBI/QuickSetup/AllPowerQuery_Consolidated.txt,powerbi,"Power BI build kit -- M queries, DAX measures, templates",txt,65486,63KB,e2997f9 2026-07-05
PowerBI/QuickSetup/README_QuickSetup.md,powerbi,"Power BI build kit -- M queries, DAX measures, templates",md,3125,3KB,e2997f9 2026-07-05
PowerBI/README.md,doc,documentation,md,9522,9KB,290c3c3 2026-07-04
PowerBI/RawDataFolders/Nielsen_Monthly/_README.txt,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,txt,164,0KB,771adac 2026-06-28
PowerBI/RawDataFolders/Nielsen_Monthly/_TEMPLATE_Nielsen_Monthly.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,424,0KB,771adac 2026-06-28
PowerBI/RawDataFolders/Offtake_Monthly/_README.txt,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,txt,653,0KB,1b0cb0d 2026-07-03
PowerBI/RawDataFolders/Offtake_Monthly/_TEMPLATE_Offtake_Monthly.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,451,0KB,771adac 2026-06-28
PowerBI/RawDataFolders/Offtake_Monthly/offtake_store_article_Apr_26.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,85754196,85.8MB,27fc581 2026-07-05
PowerBI/RawDataFolders/Offtake_Monthly/offtake_store_article_May_26.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,78600192,78.6MB,27fc581 2026-07-05
PowerBI/RawDataFolders/Primary_Article_Monthly/_README.txt,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,txt,436,0KB,e91e8d6 2026-06-28
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Apr_25.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,7286001,7.3MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Apr_26.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,11977574,12.0MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Aug_25.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,5181616,5.2MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Dec_25.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,9685384,9.7MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Feb_26.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,5800005,5.8MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Jan_26.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,12912009,12.9MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Jul_25.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,6426381,6.4MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Jun_25.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,5583679,5.6MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Mar_26.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,6806333,6.8MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_May_25.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,6425947,6.4MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_May_26.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,7594369,7.6MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Nov_25.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,10177670,10.2MB,9e49af0 2026-07-03
PowerBI/RawDataFolders/Primary_Article_Monthly/primary_article_Oct_25.csv,authoritative,raw monthly source extracts -- the ground truth for primary/offtake,csv,10704292,10.7MB,9e49af0 2026-07-03
