Channel	Brand	SubCat	Zone	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
EB2B	Mamaearth	Face Cleanser	Pan India	68	70	74	93	73	68	63	74	68	71	74	73	93	96	108
EB2B	Mamaearth	Sun Care	Pan India	24	22	16	14	10	9	9	10	10	12	19	26	37	29	24
EB2B	Mamaearth	Shampoo	Pan India	14	14	15	18	15	14	13	14	13	12	11	11	14	13	16
EB2B	Mamaearth	Moisturisers	Pan India	8	6	5	5	4	6	8	11	10	7	7	8	8	7	8
EB2B	Mamaearth	Hair Oil	Pan India	6	5	6	8	7	6	6	6	7	6	5	5	5	5	6
EB2B	Mamaearth	Baby Soap	Pan India	4	4	4	4	3	3	3	3	2	2	2	2	3	3	3
EB2B	Mamaearth	Face Cream	Pan India	4	3	4	4	3	3	3	3	2	3	1	2	3	1	2
EB2B	Mamaearth	Oral	Pan India	2	2	2	2	1	1	1	2	1	1	1	1	2	2	2
EB2B	Mamaearth	Conditioner	Pan India	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2
EB2B	Mamaearth	Face Scrub	Pan India	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1
EB2B	Mamaearth	Dusting Powder	Pan India	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EB2B	Mamaearth	Baby Body Wash	Pan India		1	1	1	1	1	1	1	1	0	1	1	1	1	1
EB2B	Mamaearth	Body Gel	Pan India	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
EB2B	Mamaearth	Face Serum	Pan India	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0
EB2B	Mamaearth	Facial Kit	Pan India	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0
EB2B	Mamaearth	Lipstick	Pan India	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0
EB2B	Mamaearth	Hair Serum	Pan India	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EB2B	Mamaearth	Foundation	Pan India	2	1	1	1	1	1	1	1	2	1	1	1	1	0	0
EB2B	Mamaearth	Body Lotion	Pan India	2	1	1	1	1	2	6	9	4	1	0	0	0	0	0
EB2B	Mamaearth	Face Masks	Pan India	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
EB2B	Mamaearth	Lip Balm	Pan India	0	0	0	0	0	2	3	7	4	1	0	0	0	0	0
EB2B	Mamaearth	Compact	Pan India	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EB2B	Mamaearth	Soap	Pan India	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EB2B	The Derma Co.	Face Cleanser	Pan India	4	4	3	5	5	6	7	8	8	10	10	10	15	14	16
EB2B	The Derma Co.	Face Serum	Pan India	11	9	9	10	10	8	10	11	17	11	10	9	13	10	9
EB2B	The Derma Co.	Sun Care	Pan India	12	10	7	6	6	5	6	7	4	8	9	10	16	12	9
EB2B	The Derma Co.	Cream	Pan India	1	1	1	1	1	1	0	1		1	1	0	1	1	0
EB2B	The Derma Co.	Lip Balm	Pan India	0	0	0	0	0	0	0	1		0	0	0	0	0	0
EB2B	The Derma Co.	BB Cream	Pan India	0	0	0	0	0				1				0	0	0
EB2B	Aqualogica	Sun Care	Pan India	8	6	4	3	4	4	4	4		4	5	4	6	4	3
EB2B	Aqualogica	Face Cleanser	Pan India	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
EB2B	Aqualogica	Moisturisers	Pan India	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
EB2B	BBLUNT	Creme Hair Colour	Pan India	0	1	1	1	0	0	0	0	0	0			0	0	0
EB2B	Dr. Sheth's	Sun Care	Pan India							1	2	2	2	2	2	2	2	1
