Channel	Chain	Zone	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
EB2B	Fsn	Pan India	184	175	164	191	160	151	156	186	168	164	168	173	228.83	207.87	216.67
MT	Dmart	EAST												0	2.48	1.62	1.24
MT	Dmart	NORTH	186	187	182	164	170	156	226	214	200	197	198	285	288.49	351.39	327.73
MT	Dmart	SOUTH-1	126	151	138	136	141	129	144	140	151	162	161	188	213.24	267.03	229.4
MT	Dmart	SOUTH-2	120	131	142	133	124	116	134	121	125	134	122	165	177.32	217.79	229.44
MT	Dmart	WEST	415	428	394	348	366	322	489	492	467	474	447	587	576.71	679.69	668.1
MT	Reliance	EAST	158	188	156	154	217	140	165	186	186	247	189	202	235.45	263.57	249.68
MT	Reliance	NORTH	204	243	193	180	257	165	217	216	226	278	244	254	293.13	337.25	309.24
MT	Reliance	SOUTH-1	95	117	95	89	118	99	107	100	116	142	125	130	126.32	151.68	151.3
MT	Reliance	SOUTH-2	50	59	57	52	60	47	59	59	66	84	67	74	74.67	85.25	94.36
MT	Reliance	WEST	94	107	91	82	117	91	118	118	121	148	131	144	138.17	152.45	143.23
MT	Apollo	EAST	27	30	32	33	39	38	51	73	57	49	50	58	72.02	80.3	79.54
MT	Apollo	NORTH	43	45	45	49	61	53	85	96	96	89	92	104	117.89	124.56	117.53
MT	Apollo	SOUTH-1	84	101	102	107	122	115	149	176	193	186	182	208	272	291.63	288.84
MT	Apollo	SOUTH-2	67	69	70	70	75	71	100	153	161	151	131	138	162.62	175.58	162.57
MT	Apollo	WEST	25	27	26	27	31	29	45	58	59	59	57	62	74.18	79.11	74.55
MT	Wellness Forever	NORTH	1	1	1	1	1	1	2	1	2	1	1	2	1.83	1.56	1.35
MT	Wellness Forever	SOUTH-1	7	7	6	6	6	6	7	7	8	6	7	7	8.25	7.64	5.32
MT	Wellness Forever	WEST	81	77	67	65	65	60	80	85	79	75	77	89	99.52	92.44	73.35
MT	H&G	EAST	4	4	5	4	5	4	4	4	4	5	3	2	2.45	3.38	1.87
MT	H&G	NORTH	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.04	0.01
MT	H&G	SOUTH-1	46	53	53	54	60	58	47	44	48	54	31	33	42.53	58.26	34.54
MT	H&G	SOUTH-2	20	22	23	21	23	21	15	17	18	21	14	14	15.39	23.61	14.14
MT	H&G	WEST	1	1	1	1	1	1	1	1	1	1	1	1	1.39	2.14	1.28
MT	Lulu	NORTH	4	5	5	5	10	8	17	14	15	18	13	15	16.86	19.46	17.98
MT	Lulu	SOUTH-1	32	35	36	39	40	42	45	49	65	79	51	57	75.5	83.91	86.17
MT	Lulu	SOUTH-2	2	2	2	3	3	3	3	6	6	6	6	6	8.56	13.03	11.7
MT	Metro Cnc	EAST	4	3	3	3	4	3	4	5	4	4	4	4	3.73	3.53	3.44
MT	Metro Cnc	NORTH	15	11	10	10	10	8	21	16	14	12	12	13	13.56	13.19	13.38
MT	Metro Cnc	SOUTH-1	15	15	14	13	15	13	19	16	18	17	15	18	14.86	15.39	14.3
MT	Metro Cnc	SOUTH-2	12	10	11	10	10	7	12	13	15	14	12	12	9.54	10.34	12.03
MT	Metro Cnc	WEST	7	7	6	6	5	4	7	8	6	6	5	6	6	5.28	17.96
MT	Sancus(Rmt)	NORTH	36	41	36	41	30	47	30	33	54	35	28	42	57.64	46.13	39.83
MT	More Retail	EAST	4	5	7	7	7	7	9	10	9	8	8	9	10.61	11.24	9.75
MT	More Retail	NORTH	5	5	6	7	7	7	8	7	7	7	8	10	10.92	13	10.21
MT	More Retail	SOUTH-1	6	6	8	7	9	9	12	12	14	11	10	12	8.41	11.21	10.56
MT	More Retail	SOUTH-2	9	10	13	14	11	11	11	11	12	12	12	14	14.71	19.65	13.14
MT	Walmart Cnc	NORTH	13	12	12	11	11	10	14	18	19	14	14	15	21.45	8.77	0
MT	Walmart Cnc	SOUTH-2	4	3	4	2	2	2	2	2	3	1	1	2	1.62	1.31	0
MT	Walmart Cnc	WEST	10	3	4	2	2	1	2	3	2	2	2	2	2.52	1.23	0
MT	Spencer	EAST		23	11	10	6	8	7	8	16	9	10	9	9.13	8.36	6.1
MT	Spencer	NORTH		9	4	4	4	3	3	4	6	3	4	3	3.36	3.63	2.39
MT	Vmm	EAST	9	8	6	7	7	7	4	1	6	9	7	13	14.9	20.11	13.86
MT	Vmm	NORTH	6	4	5	5	3	2	2	1	4	7	7	11	11.68	13.02	14.41
MT	Vmm	SOUTH-1	1	1	1	1	0	0	0	0	0	1	1	1	1.32	4.17	2.32
MT	Vmm	SOUTH-2	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.13	0.07
