Zone	Chain	Q1-24	Q2-24	Q3-24	Q4-24	Q1-25	Q2-25	Q3-25	Q4-25	Apr-26	May-26	Jun-26
EAST	Reliance	299.11	380.17	361.47	416.08	501.78	511.42	536.70	638.53	235.45	263.57	249.68
EAST	Apollo	42.84	45.30	70.34	65.26	88.74	110.02	181.93	156.68	72.02	80.30	79.54
EAST	Spencer	35.01	32.10	46.81		34.55	23.84	30.72	28.75	9.13	8.36	6.10
EAST	Vmm		15.26	27.64	32.79	22.68	21.87	34.35	30.32	14.90	20.11	13.86
EAST	More Retail	6.91	8.88	9.95	11.66	16.40	20.79	28.90	25.90	10.61	11.24	9.75
EAST	V-Mart	8.51	15.94	8.79	5.54	6.20	5.10	22.58	21.44	5.52	4.39	6.73
EAST	H&G	13.07	10.41	11.60	12.05	13.22	13.79	11.80	9.49	2.45	3.38	1.87
EAST	Metro Cnc	12.69	9.50	9.84	9.31	10.34	10.29	13.76	10.77	3.73	3.53	3.44
EAST	Arambagh	3.10	3.96	3.94	3.16	3.12	5.58	6.73	6.34	6.87	5.05	5.19
EAST	Frankros	1.41	1.54	2.84	3.37	3.09	2.53	7.00	9.64	3.85	9.79	6.81
EAST	Sasta Sundar					0.12	1.51	1.83	1.88	0.90	1.17	0.99
EAST	Wh-Smith	0.72	0.57	0.87	1.19	1.08	0.42	0.75	0.94	0.14	0.26	0.15
EAST	Dmart								0.01	2.48	1.62	1.24
EAST	Sumo Save								0.43	1.45	1.73	1.47
EAST	Apna Mart									2.51
EAST	H&B	1.24	0.34
EAST	Guardian			0.05	0.11	0.12	0.11	0.11	0.12		0.09	0.07
EAST	Sohum	0.55
EAST	Trent									0.00
NORTH	Reliance	404.77	474.42	443.01	493.16	640.46	601.56	659.38	776.52	293.13	337.25	309.24
NORTH	Dmart	357.46	270.31	307.43	351.00	555.22	489.85	638.98	679.73	288.49	351.39	327.73
NORTH	Apollo	42.85	46.78	85.77	100.18	133.33	163.06	276.46	284.67	117.89	124.56	117.53
NORTH	Sancus(Rmt)	109.08	101.56	96.83	91.73	112.70	118.09	116.73	105.32	57.64	46.13	39.83
NORTH	Walmart Cnc	52.21	42.66	38.67	50.51	37.59	32.05	51.39	42.57	21.45	8.77
NORTH	Metro Cnc	37.06	38.64	35.76	35.85	36.22	28.38	50.28	37.50	13.56	13.19	13.38
NORTH	Lulu	13.33	12.68	11.71	9.62	14.31	23.30	46.42	45.55	16.86	19.46	17.98
NORTH	Vmm		16.29	21.93	14.79	15.12	10.06	17.29	27.38	11.68	13.02	14.41
NORTH	More Retail	6.31	11.22	11.62	12.89	15.76	21.77	22.22	24.98	10.92	13.00	10.21
NORTH	Spencer	17.54	15.94	17.82		13.48	10.59	12.54	10.48	3.36	3.63	2.39
NORTH	V-Mart							17.65	22.48	5.59	2.45	4.07
NORTH	Wellness Forever	3.11	2.63	3.58	3.70	3.94	3.70	4.51	4.53	1.83	1.56	1.35
NORTH	Guardian	4.36	3.99	2.01	3.28	2.70	3.04	4.21	4.98	2.01	1.87	1.62
NORTH	Wh-Smith	2.54	1.71	2.25	0.46	1.21	0.81	0.71	1.03	0.35	0.17	0.15
NORTH	H&B	7.32	1.53
NORTH	H&G	1.25	0.86	1.11	0.75	0.53	0.31	0.10	0.06	0.03	0.04	0.01
NORTH	Spar	0.52
NORTH	Trent	0.01				0.01	0.01
NORTH	Frankros											0.01
Pan India	Fsn	535.83	458.09	423.14	388.04	523.40	502.21	510.40	504.91	228.83	207.87	216.67
SOUTH-1	Dmart	410.51	354.84	303.36	338.94	414.32	406.15	434.87	511.77	213.24	267.03	229.40
SOUTH-1	Apollo	127.37	123.09	162.91	200.95	286.91	344.07	518.04	574.84	272.00	291.63	288.84
SOUTH-1	Reliance	171.54	205.67	215.15	257.76	307.04	305.61	323.55	397.74	126.32	151.68	151.30
SOUTH-1	H&G	128.62	113.02	124.53	142.79	152.23	171.55	139.02	118.12	42.53	58.26	34.54
SOUTH-1	Lulu	90.17	101.36	75.87	106.64	104.00	121.76	158.88	186.37	75.50	83.91	86.17
SOUTH-1	Metro Cnc	42.85	44.41	41.09	42.00	43.74	40.64	53.63	49.76	14.86	15.39	14.30
SOUTH-1	More Retail	12.01	16.30	17.15	20.25	19.84	25.37	37.90	33.44	8.41	11.21	10.56
SOUTH-1	Wellness Forever	20.48	17.94	20.45	22.66	20.45	17.07	21.70	20.27	8.25	7.64	5.32
SOUTH-1	Ratandeep						10.54	12.25	14.80
SOUTH-1	Trent	2.98	2.26	2.54	0.68	1.75	2.83	3.29	3.00	1.47	1.35	1.70
SOUTH-1	Vmm		2.44	2.54	1.78	2.63	1.19	1.85	2.65	1.32	4.17	2.32
SOUTH-1	V-Mart								2.37	2.57	2.18	1.58
SOUTH-1	BEAUTY & NUTRIE					1.85	1.32	1.72	1.62	0.36	0.13	0.43
SOUTH-1	H&B	4.38	1.80
SOUTH-1	Frankros	0.05	0.19	0.25	0.55	0.40	0.48	0.61	0.63	0.18	0.24	0.56
SOUTH-1	Wh-Smith	0.26	0.20	0.27	0.61	0.58	0.65	0.52	0.44	0.16	0.14	0.11
SOUTH-1	Guardian						0.08	0.29	0.23		0.12	0.11
SOUTH-1	Spar	0.55
SOUTH-1	Spencer	0.01
SOUTH-2	Dmart	404.07	385.10	324.21	316.28	393.15	373.52	380.29	421.44	177.32	217.79	229.44
SOUTH-2	Apollo	161.44	147.69	187.90	179.25	205.53	217.04	413.85	419.92	162.62	175.58	162.57
SOUTH-2	Reliance	93.76	104.48	110.07	133.50	166.06	159.17	184.42	224.31	74.67	85.25	94.36
SOUTH-2	H&G	63.77	55.37	65.40	60.19	64.97	64.53	50.27	48.68	15.39	23.61	14.14
SOUTH-2	Metro Cnc	37.83	37.90	32.69	30.14	33.23	27.21	40.34	38.04	9.54	10.34	12.03
SOUTH-2	More Retail	11.62	17.45	20.37	25.94	31.31	36.04	34.28	38.49	14.71	19.65	13.14
SOUTH-2	Ratandeep	29.97	26.57	31.53	34.60	24.72	10.76			2.94	2.58	2.76
SOUTH-2	Lulu	8.16	7.39	6.17	7.55	5.49	8.44	14.62	18.75	8.56	13.03	11.70
SOUTH-2	Walmart Cnc	11.43	14.27	9.87	12.32	11.25	6.03	6.95	4.16	1.62	1.31
SOUTH-2	Vijetha	17.85	13.28	11.81	4.22	12.51	2.67
SOUTH-2	Spencer	12.86	12.02	1.13
SOUTH-2	Trent	0.45			0.01	1.57	3.57	4.12	4.30	2.28	2.48	2.42
SOUTH-2	National Mart									2.22	2.46	4.02
SOUTH-2	BEAUTY & NUTRIE					1.03	2.27	1.96	1.73	0.67	0.32	0.66
SOUTH-2	Vmm		1.14	0.85	0.38	0.51	0.26	0.53	0.19	0.12	0.13	0.07
SOUTH-2	V-Mart								0.60	0.88	0.47	0.43
SOUTH-2	Wh-Smith	0.03	0.02	0.32	0.24	0.29	0.15	0.15	0.23
