Zone	Brand	SubCat	Pack	Q1-25	Q2-25	Q3-25	Q4-25	Apr-26	May-26	Jun-26	Q1T
EAST	Mamaearth	Face Cleanser	50	13	15	18	22	7	7	5	19
EAST	Mamaearth	Face Cleanser	100	71	65	67	65	20	21	17	58
EAST	Mamaearth	Face Cleanser	150	116	151	143	205	85	93	95	273
EAST	Mamaearth	Face Cleanser	200			2	25	8	13	8	29
EAST	Mamaearth	Face Cleanser	250	35	22	13	10	3	3	2	8
EAST	Mamaearth	Shampoo	250	28	27	25	27	9	11	11	31
EAST	Mamaearth	Shampoo	400	131	172	169	170	80	91	77	249
EAST	Mamaearth	Shampoo	600	6	6	7	9	4	5	5	14
EAST	Mamaearth	Shampoo	650		8	17	37	11	13	15	39
EAST	Mamaearth	Sun Care	50	21	13	14	22	10	9	7	25
EAST	Mamaearth	Sun Care	80	15	13	13	24	20	26	18	64
EAST	The Derma Co.	Face Cleanser	100	4	4	7	7	4	4	4	11
EAST	The Derma Co.	Face Cleanser	150	2	3	9	22	12	12	17	42
EAST	The Derma Co.	Sun Care	50	15	8	11	17	9	8	5	23
EAST	The Derma Co.	Sun Care	80	2	1	2	4	5	8	8	21
EAST	The Derma Co.	Sun Care	125	0	2	2	3	1	1	0	2
NORTH	Mamaearth	Face Cleanser	50	24	24	26	33	11	10	9	30
NORTH	Mamaearth	Face Cleanser	100	162	160	159	153	50	55	55	160
NORTH	Mamaearth	Face Cleanser	150	337	374	348	388	160	170	161	491
NORTH	Mamaearth	Face Cleanser	200		0	6	32	23	28	23	74
NORTH	Mamaearth	Face Cleanser	250	40	29	23	19	4	4	4	12
NORTH	Mamaearth	Shampoo	250	65	69	68	69	31	33	31	96
NORTH	Mamaearth	Shampoo	400	160	203	201	210	90	92	88	271
NORTH	Mamaearth	Shampoo	600	83	98	101	113	39	45	44	127
NORTH	Mamaearth	Shampoo	650		3	23	45	13	17	17	46
NORTH	Mamaearth	Sun Care	50	63	30	27	49	24	20	15	59
NORTH	Mamaearth	Sun Care	80	101	39	39	85	62	69	50	180
NORTH	The Derma Co.	Face Cleanser	100	20	42	64	144	58	80	80	218
NORTH	The Derma Co.	Face Cleanser	150	1	6	29	65	34	49	52	135
NORTH	The Derma Co.	Sun Care	50	50	34	42	85	50	73	49	173
NORTH	The Derma Co.	Sun Care	80	4	2	3	11	16	18	19	53
NORTH	The Derma Co.	Sun Care	125		0	0	2	1	1	1	3
Pan India	Mamaearth	Face Cleanser	50	36	54	61	71	31	33	37	101
Pan India	Mamaearth	Face Cleanser	100	169	170	138	143	61	62	69	191
Pan India	Mamaearth	Face Cleanser	150	6	9	6	4	1	1	1	3
Pan India	Mamaearth	Face Cleanser	250	0	0	1	0	0	0	0	0
Pan India	Mamaearth	Shampoo	250	26	29	24	21	8	8	9	26
Pan India	Mamaearth	Shampoo	400	3	3	2	2	1	1	1	2
Pan India	Mamaearth	Sun Care	50	53	29	24	46	30	24	19	73
Pan India	Mamaearth	Sun Care	80	7	5	5	11	6	4	4	15
Pan India	The Derma Co.	Face Cleanser	100	10	11	13	14	7	6	8	22
Pan India	The Derma Co.	Face Cleanser	150		4	3	3	1	1	1	4
Pan India	The Derma Co.	Sun Care	50	25	16	16	24	15	11	8	34
Pan India	The Derma Co.	Sun Care	80	5	2	1	3	1	1	1	3
SOUTH-1	Mamaearth	Face Cleanser	50	13	12	14	16	5	6	5	15
SOUTH-1	Mamaearth	Face Cleanser	100	147	130	126	128	46	53	50	149
SOUTH-1	Mamaearth	Face Cleanser	150	181	228	231	231	93	104	98	295
