Zone	Brand	Q1-24	Q2-24	Q3-24	Q4-23	Q4-24	Q1-25	Q2-25	Q3-25	Q4-25	Apr-26	May-26	Jun-26	Q1-26T
EAST	Mamaearth	404	494	512	244	514	625	642	802	834	324	363	333	1020
EAST	The Derma Co.	13	18	24	3	25	44	40	54	79	40	44	47	131
EAST	Aqualogica	6	9	11	2	14	22	15	15	21	7	7	5	19
EAST	BBLUNT	2	4	7	1	7	10	8	6	7	1	1	1	3
EAST	Dr. Sheth's								0	0	0	0	0	0
EAST	Pure Origin					0	0	0	0	0	0	0	0	0
NORTH	Mamaearth	1013	990	1031	276	1091	1437	1355	1708	1673	649	673	618	1940
NORTH	The Derma Co.	28	30	30		54	105	116	187	361	181	243	223	648
NORTH	Aqualogica	12	15	12		16	33	21	20	29	14	19	18	51
NORTH	BBLUNT	6	6	7	0	7	7	5	4	4	1	1	1	2
NORTH	Dr. Sheth's										0	0		0
NORTH	Pure Origin					0	0	0	0	0	0	0	0	0
Pan India	Mamaearth	460	393	352		298	428	422	409	392	174	164	177	515
Pan India	The Derma Co.	54	48	53		67	71	64	82	87	45	37	35	116
Pan India	Aqualogica	18	13	15		20	22	15	11	17	7	5	3	15
Pan India	BBLUNT	4	4	3		2	2	1	0	0
Pan India	Dr. Sheth's								8	9	3	3	1	7
SOUTH-1	Mamaearth	884	850	823	126	942	1104	1164	1373	1411	509	586	559	1654
SOUTH-1	The Derma Co.	80	85	96		139	185	226	286	450	236	286	248	770
SOUTH-1	Aqualogica	35	36	30		40	50	43	34	42	18	18	16	52
SOUTH-1	BBLUNT	13	12	17	0	15	16	15	14	13	4	4	4	12
SOUTH-1	Dr. Sheth's								1	1	0	0	0	1
SOUTH-1	Pure Origin					0	0	0	0	0	0	0	0	0
SOUTH-2	Mamaearth	800	775	746	71	744	867	824	1035	1035	376	414	427	1217
SOUTH-2	The Derma Co.	34	31	39		42	61	70	82	167	89	131	113	333
SOUTH-2	Aqualogica	15	11	10		13	17	12	10	13	7	8	6	21
SOUTH-2	BBLUNT	6	6	7		6	7	6	5	5	2	1	1	4
SOUTH-2	Dr. Sheth's								1	1	0	0	0	1
SOUTH-2	Pure Origin					0	0	0	0	0	0	0		0
WEST	Mamaearth	1455	1258	1443	195	1422	1681	1461	1976	1762	623	642	643	1908
WEST	The Derma Co.	121	100	129		156	168	156	255	596	265	359	330	953
WEST	Aqualogica	21	15	19		23	25	14	19	27	13	14	11	38
WEST	BBLUNT	20	16	11	0	6	2	2	1	2	0	0	0	1
WEST	Dr. Sheth's									0	2	2	1	5
WEST	Pure Origin					0	0	0	0	0	0	0	0	0
