Zone	Brand	SubCat	Apr-26	May-26	Jun-26	Q1T
EAST	Mamaearth	Baby Body Wash	4	4	5	13
EAST	Mamaearth	Baby Soap	1	1	2	4
EAST	Mamaearth	Body Gel	0	0	0	0
EAST	Mamaearth	Body Lotion	7	5	6	18
EAST	Mamaearth	Body Wash	14	13	15	41
EAST	Mamaearth	Cold Cream			0	0
EAST	Mamaearth	Compact	0			0
EAST	Mamaearth	Conditioner	4	4	4	12
EAST	Mamaearth	Dusting Powder	0	1	1	3
EAST	Mamaearth	EAU DE PARFUM	0	0	0	0
EAST	Mamaearth	Face Cleanser	122	138	128	388
EAST	Mamaearth	Face Cream	1	2	1	4
EAST	Mamaearth	Face Masks	1	1	1	4
EAST	Mamaearth	Face Scrub	2	1	1	4
EAST	Mamaearth	Face Serum	1	1	1	4
EAST	Mamaearth	Face Toner	0	0	0	0
EAST	Mamaearth	Facial Kit	1	1	1	3
EAST	Mamaearth	Hair Mask	0	1	0	1
EAST	Mamaearth	Hair Oil	6	7	7	20
EAST	Mamaearth	Hair Serum	1	1	0	2
EAST	Mamaearth	Henna Paste	0	0	0	0
EAST	Mamaearth	Kajal	0	0	0	1
EAST	Mamaearth	Kids Soap	0	0	0	1
EAST	Mamaearth	Lip Balm	0	0	0	1
EAST	Mamaearth	Lipstick	0	0	0	0
EAST	Mamaearth	Massage Oil	0	0	0	0
EAST	Mamaearth	Moisturisers	10	11	12	34
EAST	Mamaearth	Mosquito Protection	0	0	0	1
EAST	Mamaearth	Oral	2	2	2	6
EAST	Mamaearth	OTC	0	0	0	0
EAST	Mamaearth	Shampoo	107	122	110	339
EAST	Mamaearth	Soap	8	8	8	25
EAST	Mamaearth	Sun Care	30	36	25	90
EAST	Mamaearth	Under Eye Care	0	0	0	0
EAST	The Derma Co.	Body Wash	0	0		0
EAST	The Derma Co.	Cream	0	0	0	1
EAST	The Derma Co.	Face Cleanser	17	18	22	58
EAST	The Derma Co.	Face Masks	0	0	0	0
EAST	The Derma Co.	Face Serum	6	7	9	22
EAST	The Derma Co.	Lip Balm	0	0	0	0
EAST	The Derma Co.	Moisturisers	1	1	1	2
EAST	The Derma Co.	Shampoo	0	0	0	0
EAST	The Derma Co.	Soap		0	0	0
EAST	The Derma Co.	Sun Care	15	18	14	46
EAST	Aqualogica	Face Cleanser	0	0	0	1
EAST	Aqualogica	Moisturisers	0	0	0	1
EAST	Aqualogica	Sun Care	7	6	5	17
EAST	BBLUNT	5 Minute Shampoo	0	0	0	0
EAST	BBLUNT	Conditioner	0	0	0	1
EAST	BBLUNT	Creme Hair Colour	0	0	0	0
EAST	BBLUNT	Hair Mask	0	0	0	1
EAST	BBLUNT	Hair Serum	0	0	0	0
EAST	BBLUNT	Hair Spray	0	0	0	0
EAST	BBLUNT	Hair Tonic	0			0
EAST	BBLUNT	Shampoo	0	0	0	1
NORTH	Mamaearth	Baby Body Wash	7	7	7	20
NORTH	Mamaearth	Baby Soap	3	3	3	9
NORTH	Mamaearth	Body Gel	0	0	0	1
NORTH	Mamaearth	Body Lotion	35	25	22	83
NORTH	Mamaearth	Body Wash	18	18	18	55
NORTH	Mamaearth	Cold Cream	2	1	1	4
NORTH	Mamaearth	Combo	0	0		0
NORTH	Mamaearth	Conditioner	6	7	6	18
NORTH	Mamaearth	Dusting Powder	1	1	2	4
NORTH	Mamaearth	EAU DE PARFUM	0	0	0	0
NORTH	Mamaearth	Face Cleanser	247	268	252	767
NORTH	Mamaearth	Face Cream	2	1	1	4
NORTH	Mamaearth	Face Masks	2	2	2	6
NORTH	Mamaearth	Face Scrub	3	2	2	8
NORTH	Mamaearth	Face Serum	2	1	1	4
NORTH	Mamaearth	Face Toner	0	0	0	0
NORTH	Mamaearth	Facial Kit	2	2	1	5
NORTH	Mamaearth	Foundation	0	0		0
NORTH	Mamaearth	Hair Mask	0	1	0	1
NORTH	Mamaearth	Hair Oil	14	14	15	43
NORTH	Mamaearth	Hair Serum	1	1	1	3
NORTH	Mamaearth	Kids Soap	1	1	1	2
NORTH	Mamaearth	Lip Balm	1	1	0	2
NORTH	Mamaearth	Lipstick	0			0
NORTH	Mamaearth	Massage Oil	0	0	0	1
NORTH	Mamaearth	Moisturisers	25	23	21	69
NORTH	Mamaearth	Mosquito Protection	2	1	1	3
NORTH	Mamaearth	Oral	2	2	2	6
NORTH	Mamaearth	OTC	1	0	0	2
NORTH	Mamaearth	Shampoo	176	189	182	548
NORTH	Mamaearth	Soap	10	10	10	29
NORTH	Mamaearth	Sun Care	86	89	66	241
NORTH	Mamaearth	Under Eye Care	0	0	0	0
NORTH	The Derma Co.	Body Lotion		0	0	0
NORTH	The Derma Co.	Body Wash	0			0
NORTH	The Derma Co.	Cream	1	0	0	1
NORTH	The Derma Co.	Face Cleanser	94	132	135	360
NORTH	The Derma Co.	Face Masks	0	0	0	1
NORTH	The Derma Co.	Face Serum	17	16	15	48
NORTH	The Derma Co.	Lip Balm	0	0	0	1
NORTH	The Derma Co.	Moisturisers	2	1	1	5
NORTH	The Derma Co.	Shampoo	0	1	1	2
NORTH	The Derma Co.	Soap	0	0	0	0
NORTH	The Derma Co.	Sun Care	68	92	69	229
NORTH	Aqualogica	Body Mist		0	0	0
NORTH	Aqualogica	Face Cleanser	1	1	1	2
NORTH	Aqualogica	Moisturisers	0	0	0	1
NORTH	Aqualogica	Sun Care	13	19	17	49
NORTH	BBLUNT	5 Minute Shampoo	0	0	0	0
NORTH	BBLUNT	Conditioner	0	0	0	0
NORTH	BBLUNT	Creme Hair Colour	0	0	0	0
NORTH	BBLUNT	Hair Mask	0	0	0	0
NORTH	BBLUNT	Hair Serum	0	0	0	0
NORTH	BBLUNT	Hair Spray	0	0	0	0
NORTH	BBLUNT	Shampoo	0	0	0	1
NORTH	Dr. Sheth's	Sun Care	0	0		0
Pan India	Mamaearth	Baby Body Wash	1	1	1	2
Pan India	Mamaearth	Baby Soap	3	3	3	9
Pan India	Mamaearth	Body Gel	1	1	1	2
Pan India	Mamaearth	Body Lotion	0	0	0	0
Pan India	Mamaearth	Cold Cream	0			0
