Channel	Chain	Zone	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
EB2B	Fsn	Pan India	184	175	164	191	160	151	156	186	168	164	168	173	229	208	217
MT	Dmart	EAST												0	2	2	1
MT	Dmart	NORTH	186	187	182	164	170	156	226	214	200	197	198	285	288	351	326
MT	Dmart	SOUTH-1	126	151	138	136	141	129	144	140	151	162	161	188	213	267	221
MT	Dmart	SOUTH-2	120	131	142	133	124	116	134	121	125	134	122	165	177	218	218
MT	Dmart	WEST	415	428	394	348	366	322	489	492	467	474	447	587	577	680	646
MT	Reliance	EAST	158	188	156	154	217	140	165	186	186	247	189	202	235	264	250
MT	Reliance	NORTH	204	243	193	180	257	165	217	216	226	278	244	254	293	337	309
MT	Reliance	SOUTH-1	95	117	95	89	118	99	107	100	116	142	125	130	126	152	151
MT	Reliance	SOUTH-2	50	59	57	52	60	47	59	59	66	84	67	74	75	85	94
MT	Reliance	WEST	94	107	91	82	117	91	118	118	121	148	131	144	138	152	143
MT	Apollo	EAST	27	30	32	33	39	38	51	73	57	49	50	58	72	80	80
MT	Apollo	NORTH	43	45	45	49	61	53	85	96	96	89	92	104	118	125	89
MT	Apollo	SOUTH-1	84	101	102	107	122	115	149	176	193	186	182	208	272	292	211
MT	Apollo	SOUTH-2	67	69	70	70	75	71	100	153	161	151	131	138	163	176	144
MT	Apollo	WEST	25	27	26	27	31	29	45	58	59	59	57	62	74	79	75
MT	Wellness Forever	NORTH	1	1	1	1	1	1	2	1	2	1	1	2	2	2	1
MT	Wellness Forever	SOUTH-1	7	7	6	6	6	6	7	7	8	6	7	7	8	8	5
MT	Wellness Forever	WEST	81	77	67	65	65	60	80	85	79	75	77	89	100	92	73
MT	H&G	EAST	4	4	5	4	5	4	4	4	4	5	3	2	2	3	2
MT	H&G	NORTH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT	H&G	SOUTH-1	46	53	53	54	60	58	47	44	48	54	31	33	43	58	35
MT	H&G	SOUTH-2	20	22	23	21	23	21	15	17	18	21	14	14	15	24	14
MT	H&G	WEST	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
MT	Lulu	NORTH	4	5	5	5	10	8	17	14	15	18	13	15	17	19	18
MT	Lulu	SOUTH-1	32	35	36	39	40	42	45	49	65	79	51	57	75	84	86
MT	Lulu	SOUTH-2	2	2	2	3	3	3	3	6	6	6	6	6	9	13	12
MT	Metro Cnc	EAST	4	3	3	3	4	3	4	5	4	4	4	4	4	4	3
MT	Metro Cnc	NORTH	15	11	10	10	10	8	21	16	14	12	12	13	14	13	13
MT	Metro Cnc	SOUTH-1	15	15	14	13	15	13	19	16	18	17	15	18	15	15	14
MT	Metro Cnc	SOUTH-2	12	10	11	10	10	7	12	13	15	14	12	12	10	10	12
MT	Metro Cnc	WEST	7	7	6	6	5	4	7	8	6	6	5	6	6	5	18
MT	Sancus(Rmt)	NORTH	36	41	36	41	30	47	30	33	54	35	28	42	58	46	40
MT	More Retail	EAST	4	5	7	7	7	7	9	10	9	8	8	9	11	11	10
MT	More Retail	NORTH	5	5	6	7	7	7	8	7	7	7	8	10	11	13	10
MT	More Retail	SOUTH-1	6	6	8	7	9	9	12	12	14	11	10	12	8	11	11
MT	More Retail	SOUTH-2	9	10	13	14	11	11	11	11	12	12	12	14	15	20	13
MT	Walmart Cnc	NORTH	13	12	12	11	11	10	14	18	19	14	14	15	21	9
MT	Walmart Cnc	SOUTH-2	4	3	4	2	2	2	2	2	3	1	1	2	2	1
MT	Walmart Cnc	WEST	10	3	4	2	2	1	2	3	2	2	2	2	3	1
MT	Spencer	EAST		23	11	10	6	8	7	8	16	9	10	9	9	8	6
MT	Spencer	NORTH		9	4	4	4	3	3	4	6	3	4	3	3	4	2
MT	Vmm	EAST	9	8	6	7	7	7	4	1	6	9	7	13	15	16	12
MT	Vmm	NORTH	6	4	5	5	3	2	2	1	4	7	7	11	11	11	13
MT	Vmm	SOUTH-1	1	1	1	1	0	0	0	0	0	1	1	1	1	3	2
MT	Vmm	SOUTH-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT	Vmm	WEST	0	0	0	0	0	0	0	0						0	0
MT	Ratandeep	SOUTH-1					5	5	3		10	6	6	3
MT	Ratandeep	SOUTH-2	8	10	7	11									3	3	3
MT	V-Mart	EAST	2	1	3	1	2	2	1	8	13	6	7	8	6	4	7
MT	V-Mart	NORTH								12	6	8	7	7	6	2	4
MT	V-Mart	SOUTH-1											1	2	3	2	2
MT	V-Mart	SOUTH-2											0	0	1	0	0
MT	V-Mart	WEST								0	0	0	0	0	0	0	0
MT	Trent	EAST													0
MT	Trent	NORTH		0	0	0
MT	Trent	SOUTH-1		1	1	1	1	1	1	1	1	1	1	1	1	1	2
MT	Trent	SOUTH-2		1	1	1	1	1	1	2	1	2	1	2	2	2	2
MT	Trent	WEST		2	2	2	4	3	3	3	3	3	2	3	4	4	7
MT	Vijetha	SOUTH-2	6	3	4	3
MT	Frankros	EAST	1	1	1	1	1	1	1	3	3	4	3	3	4	10	7
MT	Frankros	NORTH															0
MT	Frankros	SOUTH-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MT	Frankros	SOUTH-2	0	0	0	0	0	0
