Channel	Brand	SubCat	Jan-25	Feb-25	Mar-25	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
Eb2b	Aqualogica	ALL	448318.89	819988.63	709924.35	1016209.83	899752.74	334414.55	195859.18	493592.05	563758.62	510881.12	337506.21	280410.25	1343199.54	411845.37	222356.18	610470.37	360639.37	137139.07
Eb2b	BBLUNT	ALL	36369.98	56208.13	33063.57	56208.06	-9999.87	62873.21	31024.66	-4844.35	413.3	-19089.95		-1007.44				-366.76	-885.28
Eb2b	Dr. Sheth's	ALL										507133.54	755908	1131.09	231224.11	290383.5	166759.58	373398.13	30879.25	222357.84
Eb2b	Mamaearth	ALL	7481056.91	9070115.6	6992805.52	19920991.31	12256180.69	14236399.99	16793544.11	9004100.6	10810323.94	9445995.34	11876975.4	10673534.87	13816246.26	11372451.76	12211742.06	19767306.99	14136532.86	16923559.48
Eb2b	The Derma Co.	ALL	2035304.08	2956386.68	2224827.66	4393351.3	2327758.63	2619319.62	2397406.7	1775901.23	3545258.38	2379222.22	3333709.8	2784705.75	4468155.07	3065651.37	2333602.33	6258508.9	3731625.74	3383828.82
Eb2b	TOTAL	ALL	10001049.86	12902699.04	9960621.1	25386760.5	15473692.19	17253007.37	19417834.65	11268749.53	14919754.24	12824142.27	16304099.41	13738774.52	19858824.98	15140332	14934460.15	27009317.63	18258791.94	20666885.21
MT	Aqualogica	ALL	1782587.02	5488873.72	9568093.44	7658153.64	4647095.64	3108617.86	3252502.04	1945303.26	1932338.18	2877223.25	2700230.9	2767037.57	4964520.7	7885770.98	8715220.9	9894557.07	14329178.11	5302966.98
MT	BBLUNT	ALL	1559007.57	2145453.37	457337.22	1050297.06	940835.13	1161783.25	1373275.01	328803.9	246127.42	1049550.59	1010254.02	43869.64	1115228.82	412230.66	576389.62	680901.04	691536.71	389922.95
MT	Dr. Sheth's	ALL										90146.46		325833.44	17621.13	6754.18	611168.92	336255.57	199639.82	79275.49
MT	Mamaearth	ALL	149803964.7	165315895.2	149907530.9	257340391.3	192813514	170932492.2	199448213.6	177609079.7	181793937.8	226585109.7	264693571.9	207056550.8	269390763.2	207780883	197799535.7	315458343.6	270292362.9	288110627.2
MT	Pure Origin	ALL	285881.05	53251.12	53482.32	200229.45	216677.5	37775.13											-31749.7
