Month,Chain,Brand,Primary_NSV_Cr,Offtake_NSV_Cr,Conversion_Pct,Primary_Source,Offtake_Source
Jul'26,Dmart,Mamaearth,9.7954,8.6333,113.5,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Dmart,The Derma Co,5.263,5.1379,102.4,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Dmart,Aqualogica,0.1017,0.196,51.9,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Reliance Retail,Mamaearth,12.3734,6.5355,189.3,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Reliance Retail,The Derma Co,4.6806,1.3922,336.2,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Reliance Retail,Aqualogica,0.1763,0.1251,140.9,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Reliance Retail,BBlunt,0.0,0.0028,,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Apollo,Mamaearth,6.4669,4.9874,129.7,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Apollo,The Derma Co,3.1534,2.1904,144.0,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Apollo,Aqualogica,-0.0094,0.0013,-713.9,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Apollo,BBlunt,0.0399,0.0024,1668.2,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Nykaa (FSN),Mamaearth,0.0489,1.6484,3.0,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Nykaa (FSN),The Derma Co,0.1252,0.3709,33.7,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Nykaa (FSN),Aqualogica,0.0,0.0262,,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Nykaa (FSN),BBlunt,0.0326,0.0,,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Nykaa (FSN),Dr. Sheth,0.0176,0.0,,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Lulu,Mamaearth,0.2726,0.8092,33.7,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Lulu,The Derma Co,0.44,0.842,52.3,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Lulu,Aqualogica,0.0353,0.0466,75.8,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Wellness Forever,Mamaearth,0.1791,0.2331,76.9,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Wellness Forever,The Derma Co,0.297,0.4611,64.4,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Wellness Forever,Aqualogica,0.0057,0.0172,33.0,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Wellness Forever,BBlunt,0.0,0.0008,,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Wellness Forever,Dr. Sheth,0.0036,0.0,,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,H&G,Mamaearth,0.0737,0.0875,84.3,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,H&G,The Derma Co,0.2948,0.354,83.3,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,H&G,Aqualogica,0.0163,0.0211,77.3,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,H&G,BBlunt,0.0443,0.0418,105.9,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Metro C&C,Mamaearth,1.5129,0.4017,376.7,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Metro C&C,The Derma Co,0.2105,0.0554,379.8,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Metro C&C,Aqualogica,0.056,0.019,295.6,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,Metro C&C,BBlunt,0.0655,0.0098,670.9,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
Jul'26,More Retail,Mamaearth,0.0647,0.2692,24.0,Direct+Dist(offtake-allocated),Store×Article CSV (excl Brand Counter)
