Territory,Brand,Chain,Weight_Pct_From_Offtake,Basis,Status
KER,Mamaearth,Apollo,24.2164,Jul'26 offtake share in KER territory chains,Derived — pending approval
KER,Mamaearth,H&G,0.303,Jul'26 offtake share in KER territory chains,Derived — pending approval
KER,Mamaearth,Lulu,75.4806,Jul'26 offtake share in KER territory chains,Derived — pending approval
TN,Mamaearth,Dmart,39.2808,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,Mamaearth,Apollo,51.6108,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,Mamaearth,H&G,1.6058,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,Mamaearth,Lulu,7.5025,Jul'26 offtake share in TN territory chains,Derived — pending approval
TG,Mamaearth,Apollo,37.5992,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,Mamaearth,Dmart,50.579,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,Mamaearth,H&G,1.4753,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,Mamaearth,Lulu,6.3638,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,Mamaearth,More Retail,3.9827,Jul'26 offtake share in TG territory chains,Derived — pending approval
KA,Mamaearth,Apollo,86.039,Jul'26 offtake share in KA territory chains,Derived — pending approval
KA,Mamaearth,Lulu,9.3368,Jul'26 offtake share in KA territory chains,Derived — pending approval
KA,Mamaearth,More Retail,4.6242,Jul'26 offtake share in KA territory chains,Derived — pending approval
AP,Mamaearth,Apollo,37.443,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,Mamaearth,Dmart,41.3357,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,Mamaearth,H&G,0.1341,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,Mamaearth,Reliance Retail,21.0872,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,Mamaearth,Spencer,0.0,Jul'26 offtake share in AP territory chains,Derived — pending approval
KER,The Derma Co,Apollo,20.8572,Jul'26 offtake share in KER territory chains,Derived — pending approval
KER,The Derma Co,H&G,2.0619,Jul'26 offtake share in KER territory chains,Derived — pending approval
KER,The Derma Co,Lulu,77.081,Jul'26 offtake share in KER territory chains,Derived — pending approval
TN,The Derma Co,Dmart,35.1622,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,The Derma Co,Apollo,40.8021,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,The Derma Co,H&G,13.5428,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,The Derma Co,Lulu,10.493,Jul'26 offtake share in TN territory chains,Derived — pending approval
TG,The Derma Co,Apollo,36.6004,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,The Derma Co,Dmart,27.795,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,The Derma Co,H&G,12.626,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,The Derma Co,Lulu,17.5357,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,The Derma Co,More Retail,5.4429,Jul'26 offtake share in TG territory chains,Derived — pending approval
KA,The Derma Co,Apollo,67.9933,Jul'26 offtake share in KA territory chains,Derived — pending approval
KA,The Derma Co,Lulu,29.3654,Jul'26 offtake share in KA territory chains,Derived — pending approval
KA,The Derma Co,More Retail,2.6413,Jul'26 offtake share in KA territory chains,Derived — pending approval
AP,The Derma Co,Apollo,33.4017,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,The Derma Co,Dmart,51.8389,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,The Derma Co,H&G,2.3569,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,The Derma Co,Reliance Retail,12.4025,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,The Derma Co,Spencer,0.0,Jul'26 offtake share in AP territory chains,Derived — pending approval
KER,Aqualogica,Apollo,0.0,Jul'26 offtake share in KER territory chains,Derived — pending approval
KER,Aqualogica,H&G,1.8724,Jul'26 offtake share in KER territory chains,Derived — pending approval
KER,Aqualogica,Lulu,98.1276,Jul'26 offtake share in KER territory chains,Derived — pending approval
TN,Aqualogica,Dmart,64.4848,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,Aqualogica,Apollo,0.24,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,Aqualogica,H&G,17.6569,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,Aqualogica,Lulu,17.6183,Jul'26 offtake share in TN territory chains,Derived — pending approval
TG,Aqualogica,Apollo,1.2562,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,Aqualogica,Dmart,26.3026,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,Aqualogica,H&G,28.4307,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,Aqualogica,Lulu,19.6559,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,Aqualogica,More Retail,24.3546,Jul'26 offtake share in TG territory chains,Derived — pending approval
KA,Aqualogica,Apollo,1.3002,Jul'26 offtake share in KA territory chains,Derived — pending approval
KA,Aqualogica,Lulu,70.2144,Jul'26 offtake share in KA territory chains,Derived — pending approval
KA,Aqualogica,More Retail,28.4854,Jul'26 offtake share in KA territory chains,Derived — pending approval
AP,Aqualogica,Apollo,0.6763,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,Aqualogica,Dmart,61.8603,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,Aqualogica,H&G,4.4244,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,Aqualogica,Reliance Retail,33.0389,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,Aqualogica,Spencer,0.0,Jul'26 offtake share in AP territory chains,Derived — pending approval
KER,BBlunt,Apollo,0.0,Jul'26 offtake share in KER territory chains,Derived — pending approval
KER,BBlunt,H&G,100.0,Jul'26 offtake share in KER territory chains,Derived — pending approval
KER,BBlunt,Lulu,0.0,Jul'26 offtake share in KER territory chains,Derived — pending approval
TN,BBlunt,Dmart,0.0,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,BBlunt,Apollo,0.0,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,BBlunt,H&G,100.0,Jul'26 offtake share in TN territory chains,Derived — pending approval
TN,BBlunt,Lulu,0.0,Jul'26 offtake share in TN territory chains,Derived — pending approval
TG,BBlunt,Apollo,0.0,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,BBlunt,Dmart,0.0,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,BBlunt,H&G,100.0,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,BBlunt,Lulu,0.0,Jul'26 offtake share in TG territory chains,Derived — pending approval
TG,BBlunt,More Retail,0.0,Jul'26 offtake share in TG territory chains,Derived — pending approval
KA,BBlunt,Apollo,100.0,Jul'26 offtake share in KA territory chains,Derived — pending approval
KA,BBlunt,Lulu,0.0,Jul'26 offtake share in KA territory chains,Derived — pending approval
KA,BBlunt,More Retail,0.0,Jul'26 offtake share in KA territory chains,Derived — pending approval
AP,BBlunt,Apollo,0.0,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,BBlunt,Dmart,0.0,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,BBlunt,H&G,100.0,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,BBlunt,Reliance Retail,0.0,Jul'26 offtake share in AP territory chains,Derived — pending approval
AP,BBlunt,Spencer,0.0,Jul'26 offtake share in AP territory chains,Derived — pending approval
KA,Dr. Sheth,Apollo,100.0,Jul'26 offtake share in KA territory chains,Derived — pending approval
KA-AZ2,Mamaearth,More Retail,100.0,DistCont_Patch known mapping,Known
KA-AZ2,The Derma Co,H&G,100.0,DistCont_Patch known mapping,Known
KA-AZ2,Aqualogica,More Retail,100.0,DistCont_Patch known mapping,Known
KA-AZ2,BBlunt,Apollo,100.0,DistCont_Patch known mapping,Known
JUST MARK-Dmart_ship to,All,Dmart,100.0,Single-chain distributor,Known
Kiran Trading Co- Dmart,All,Dmart,100.0,Single-chain distributor,Known
Kiran Trading Co_Shipto (Solapur),All,Dmart,100.0,Single-chain distributor,Known
