Distributor,Chain,Brand,NSV_Cr,Weight_Pct,Territory
Az Enterprises,Lulu,The Derma Co,0.0002,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0006,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0007,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0003,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0011,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0005,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0007,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0005,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0007,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0007,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0009,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0004,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0007,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0013,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Aqualogica,0.0019,70.21,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,Mamaearth,0.0005,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0,9.34,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,Aqualogica,0.0005,70.21,KA
Az Enterprises,Lulu,The Derma Co,0.0032,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0007,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0006,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0004,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0005,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0005,9.34,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,Aqualogica,0.0012,70.21,KA
Az Enterprises,Lulu,Mamaearth,0.0004,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0001,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0019,29.37,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,The Derma Co,0.0044,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0007,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Aqualogica,0.0015,70.21,KA
Az Enterprises,Lulu,Mamaearth,0.0004,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0009,9.34,KA
