Distributor,Brand,Territory,NSV_Cr,Weight_Pct,Basis
M/S KOTTARAM BUSINESS CORPORATION-MT,The Derma Co,KER,0.1868,77.08,Offtake-derived weight for Jul'26
Az Enterprises,The Derma Co,KA,0.1068,29.37,Offtake-derived weight for Jul'26
VENKATESHWARA AGENCIES-TG,The Derma Co,TG,0.0986,17.54,Offtake-derived weight for Jul'26
M/S KOTTARAM BUSINESS CORPORATION-MT,Mamaearth,KER,0.0828,75.48,Offtake-derived weight for Jul'26
G.V Enterprises,Mamaearth,TN,0.0766,7.5,Offtake-derived weight for Jul'26
VENKATESHWARA AGENCIES-TG,Mamaearth,TG,0.0647,6.36,Offtake-derived weight for Jul'26
Az Enterprises,Mamaearth,KA,0.0472,9.34,Offtake-derived weight for Jul'26
G.V Enterprises,The Derma Co,TN,0.0471,10.49,Offtake-derived weight for Jul'26
Az Enterprises,Aqualogica,KA,0.0227,70.21,Offtake-derived weight for Jul'26
M/S KOTTARAM BUSINESS CORPORATION-MT,Aqualogica,KER,0.0087,98.13,Offtake-derived weight for Jul'26
VENKATESHWARA AGENCIES-TG,Aqualogica,TG,0.0024,19.66,Offtake-derived weight for Jul'26
G.V Enterprises,Aqualogica,TN,0.0011,17.62,Offtake-derived weight for Jul'26
Az Enterprises,BBlunt,KA,0.0,0.0,Offtake-derived weight for Jul'26
VENKATESHWARA AGENCIES-TG,BBlunt,TG,0.0,0.0,Offtake-derived weight for Jul'26
